V2022,V2023,V2024,V2025,V2026,V2032,V2033CAT,V2034,V2038,V2040A,V2042CAT,V2045,V2047,V2078,V2120,V2126B,V2127B,V2128B,V2129,V2132,V3012,V3018,V3020,V3023A,V3032,V3033,V3061,V3064,V3071,V3072,V3074,V3075,V3076,VS0005,VS0010,VS0011,VS0022,VS0023,VS0024,VS0025,VS0026,VS0027,VS0029,VS0031,VS0041,VS0043,VS0045,VS0046,VS0047,VS0048,VS0049,VS0050,VS0051,VS0052,VS0053,VS0054,VS0055,VS0146,VS0147,VS0148,VS0149,VS0150,VS0151,VS0057,VS0152,VS0153,VS0154,VS0155,VS0058,VS0059,VS0060,VS0061,VS0062,VS0063,VS0064,VS0065,VS0066,VS0067,VS0068,VS0069,VS0124,VS0126,VS0133,VS0134,VS0137,VS0138,VS0139,VS0140,VS0141,o_bullied
1,1,1,9,14,11,5,3,42,1,5,2,42,2,2,16,3,4,2,4,3,1,8,1,5,99,1,0,9,9,99,9,9,1,14,2,6,8,5,1,5,1,1,2,2,1,1,3,3,2,1,1,2,3,2,2,4,1,1,1,2,1,1,1,1,1,1,1,2,2,2,3,2,3,2,2,2,3,3,2,1,1,2,9,99,1,1,1,4,1
1,1,1,9,1,11,4,1,28,1,4,2,28,3,2,13,2,1,2,4,4,2,11,1,2,3,1,0,2,2,99,9,9,1.623205983,17,2,9,12,4,1,4,1,2,1,2,1,2,4,3,2,2,3,3,2,3,3,2,1,2,1,3,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,9,99,3,1,1,3,1
1,1,1,9,98,2,4,1,41,1,4,1,40,3,9,0,3,1,2,1,4,2,9,1,14,99,0,1,9,9,99,9,9,1,15,1,9,12,2,2,2,1,2,2,1,1,1,4,3,2,2,1,3,1,2,1,3,2,2,2,2,2,2,1,1,2,2.37780473,2,2,2,2,2,2,2,3,3,2,2,2,2,1,1,2,9,99,1,1,1,2,0
1,1,1,9,12,2,4,1,28,1,4,1,11,1,2,17,3,1,2,4,4,2,6,2,99,1,0,1,9,9,99,9,9,1,13,1,6,8,2,1,2,1,2,1,1,1,1,3,4,1,1,1,1,2,2,2,3,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,9,99,2,1,1,2,1
1,1,1,9,14,2,5,1,42,1,4,1,42,4,9,16,3,1,2,4,4,2,11,1,13,99,1,0,1,9,93.37517687,8.411158278,8.4396604,1,16,2,9,12,4,2,4,1,2,1,4,3,1,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,2,1,1,5,0
1,1,1,9,14,2,4,1,28,1,4,1,28,3,9,0,3,3,2,4,3,1,9,1,10,99,1,0,9,9,99,9,9,3,15,2,9,12,2,4,2,1,2,2,1,1,1,3,3,2,2,2,2,2,1,2,3,1,2,2,2,1,2,1,4,1,1,2,1,1,1,1,3,1,3,3,3,1,2,2,1,1,2,9,99,2,1,2,3,1
1,1,1,9,9,11,4,3,28,1,4,2,28,4,2,0,3,1,2,4,4,2,9,1,7,99,0,0,9,9,99,9,9,1,15,1,9,12,4,2,2,1,1,1,1,2,1,2,3,2,3,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,9,99,2,1,1,1,0
1,1,1,9,14,11,4,1,42,1,4,2,42,4,9,16,3,1,2,4,3,1,11,1,12,99,1,0,2,2,99,9,9,2,17,1,9,12,4,1,4,1,2,1,1,1,1,3,2,1,1,1,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,2,1,1,1,0
1.706488781,1,1,9,14,11,4,3,40,1,4,1,40,2,9,0,3,1,2,4,3,1,6,1,7,99,0,1,9,9,99,9,9,1,13,1,6,8,4,2,4,1,1,1,2,1,2,3,3,2,3,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,9,99,2,2,9,2,1
1,8,1,9,14,11,5,1,41,1,5,2,41,4,9,17,3,1,2,4,3,1,7,1,6,99,0,1,9,9,99,9,9,1,13,1,6,8,4,2,2,1,2,2,3,1,1,3,4,1,2,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,9,99,2,1,1,2,1
1,1,1.538912472,1,13,11,4,5,40,1,4,2,40,1,2,16,3,1,2,4,4,2,9,1,99,1,0,1,9,9,99,9,9,1,15,1,9,12,1,1,1,1,2,2,4,1,1,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,3,3,4,3,3,2,1,1,3,6,99,3,1,1,2,0
1,1,1,9,14,2,5,1,42,1,4,1,40,4,9,0,1,1,2,4,3,1,10,1,5,99,1,0,2,2,99,9,9,1,16,2,9,12,4,1,4,1,1,2,1,1,1,2,3,3,2,3,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,1,1,2,9,99,1,1,1,5,1
1,1,1,9,6,11,4,2,6,1,4,2,6,1,2,0,4,1,2,4,4,2,6,1,6,99,0,0,9,9,99,9,9,3,12,1,6,8,3,2,3,1,2,2,4,2,1,3,3,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,1,1,1,1,0
1,8,1,9,13,2,4,1,41,1,4,1,28,2,9,13,2,1,2,4,3,1,9.330301193,1,14,99,1,0,2,2,99,9,9,2,18,1.586618152,9,12,1,1,1,5,2,2,1,1,1,2.698807358,3.15201132,2,2,2,2,2,2,1,3,2,1,2,2,2,2,2,3,2,3,2,1,1,2,2,1,1,1,1,1,1,3,1,1,1,2,9,99,2,1,1,2.949262179,1
1,8,1,9,98,11,4,1,28,1,4,2,28,2,9,17,4,1,2,4,4,2,8,1,14,99,0,0,2,2,99,9,9,1,16,1,9,12,4,1,4,1,1,2,4,1,1,2,2,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,3,6,99,1,1,1,2,0
1,1,1,9,14,11,4,1,42,2,4,2,42,2,9,0,3,1,2,4,3,1,6,2,10,99,1,0,9,9,99,9,9,3,12,1.586618152,6,8,2,1,2,1,1,2,1,2,1,2,2,1,2,2,2,2,2,1,4,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,2,1,1,2.949262179,0
1,1,1,9,14,2,4,1,42,1,4,1,42,2,9,18,4,4,2,4,4,2,10,1,2,1,0,1,2,2,99,9,9,2,17,3,9,12,4,2,4,5,2,2,3,3,1,1,2,1,1,1,1,2,2,2,4,2,1,2,2,2,2,2,1,1,2,2,1,1,3,3,3,3,3,3,3,3,3,2,2,2,2,9,99,1,1,1,2.949262179,0
1,8,1,9,14,11,4,1,42,1,4,2,42,4,9,16,2,1,2,4,3,1,10,1,17,99,1,0,1,9,93.37517687,8.411158278,8.4396604,1,17,1.586618152,9,12,4,1,4,5,2,2,1,1,1,2,3.15201132,1,2,2.287446938,2,2,2,2,3,1,2,2,2,2,2,2,2,2,1,1,1,1,1,3,3,3,3,3,3,1,3,2,1,1,3,6,99,2,1,2,2.949262179,0
1,1,1,9,7,2,4,1,42,1,5,1,28,4,9,0,1,1,2,4,3,1,5,1,12,99,1,0,9,9,99,9,9,1,12,2,6,8,2,1,2,1,2,2,1,2,1,2,2,2,2,2,2,3,1,1,4,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,2,1,1,3,0
1,1,1,9,98,2,4,1,40,1,4,1,40,2,9,0,2,1,2,4,3,1,7,1,12,99,0,0,9,9,99,9,9,1,12,3,0,8,2,2,2,1,2,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,2,1,1,2,9,99,1,2,9,2.949262179,0
1,1,1,9,5,11,4,1,28,1,4,2,28,2,9,0,3,1,2,4,4,2,8,1,12,99,1,0,9,9,99,9,9,1,13,2,6,8,4,2,4,1,2,1,1,1,1,3,3,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,3,1,1,3,0
1,1,1,9,10,2,4,1,40,1,4,1,6,4,9,0,3,1,2,4,3,1,8,1,9,99,0,0,2,2,99,9,9,1,16,1,9,12,2,2,2,1,1,1,1,1,3,3,2,2,1,1,1,1,1,1,4,2,2,1,1,1,1,1,1,2,1,1,3,4,4,4,4,3,3,3,3,3,3,2,2,2,1,2,2,3,1,1,1,0
1,1,1,9,14,2,4,1,41,1,4,1,28,3,9,16,3,4,2,4,4,2,7,1,3,1,0,1,9,9,99,9,9,1,14,1,6,8,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,1,1,1,2,0
1,1,1,9,11,11,4,1,28,1,4,2,28,3,2,13,2,3,2,4,4,2,6,1,13,99,0,0,9,9,99,9,9,1,13,1,6,8,4,2,4,1,1,1,1,1,2,3,4,2,2,3,3,2,2,1,3,2,3,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,9,99,1,1,1,2,0
1,1,1,9,1,11,3,5,40,2,3,2,40,1,2,0,2,3,2,4,3,1,7,2,99,2,0,1,9,9,99,9,9,3,13,1,6,8,2,2,2,1,2,2,1,1,1,3,3,1,1,1,1,1,1,1,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,3,1,1,1,0
1.706488781,1,1,9,12,11,4,3,28,1.410753992,4,2,28,2,9,18,4,1,1,4,4,2,9,1.550232464,99,2,1,0,9,9,99,9,9,1,14,1,9,12,4,1,4,1,2,2,2,1,1,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,99,2,1,3,1,1
5,9,1,9,12,11,4,1,28,1,4,2,28,3,9,0,4,4,2,4,3,1,5,1,99,1,0,0,9,9,99,9,9,2,12,1,0,8,2,1,2,1,2,2,2,1,1,1,4,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,1,2,9,99,1,1,1,2,0
1.706488781,1,1,9,14,11,4,1,40,1,4,2,40,2,9,0,4,3,2,4,4,2,6,2,12,99,1,0,9,9,99,9,9,2,12,2,7,12,4,1,4,1,1,2,2,3,1,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,1,2,9,99,2,1,1,3,1
1,1,1,9,12,11,4,1,42,1,4,2,42,3,9,13,3,4,3,4,3,1,8,1,6,99,0,0,9,9,99,9,9,3,14,1,6,8,4,3,4,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,6,99,2,1,3,1,0
1,1,1.538912472,2,4,11,5,5,42,1,5,2,42,0,2,18,1,1,1,4,3,1,10,1,16,99,1,0,2,2,99,9,9,1,16,2,9,12,1,1,1,1,2,2,2,1,1,2,3,1,1,1,2,2,1,2,4,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,2,1,1,3,0
1,1,1,9,12,2,4,1,28,1,4,1,28,4,9,0,2,4,2,4,4,2,11,1,7,99,1,0,1,9,93.37517687,8.411158278,8.4396604,2,17,2,9,12,2,2,2,1,1,2,1,1,1,3,3,2,2,1,1,2,1,1,4,2,2,1,2,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,2,1,2,1,1,1,2,9,99,2,1,1,3,1
1,1,1,9,11,11,4,5,41,2,4,2,41,1,2,20,1,1,1,1,3,1,9,2,99,2,0,0,1,9,93.37517687,8.411158278,4,2,17,1,9,12,3,5,3,1,1,2,1,1,1,3,4,1,3,1,1,1,3,1,2,1,1,1,1,1,1,1,3,1,3,2,2,1,3,3,3,3,2,2,2,1,3,1,1,1,1,3,99,3,1,2,1,0
1,1,1,9,14,11,4,1,28,1,4,2,28,4,9,13,1,1,2,4,3,1,9.330301193,1,11,99,0,1,1,9,93.37517687,8.411158278,8.4396604,1,18,1,9,12,4,1,4,1,2,2,2,1,1,2,4,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,2,9,99,2,1,2,2,0
1,1,1.538912472,2,8,11,4,1,28,1,4,1,28,1,2,16,3,1,2,3.720234486,4,2,10,1,4,1,0,1,2,2,99,9,9,1,16,1,9,12,2,1,2,1,2,2,3,1,1,3,3,2,2,2,2,2,2,2,3,2.161916313,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,9,99,2,1,1,1,0
1,1,1,9,14,11,4,3,28,1,4,2,28,1,9,18,4,4,1,4,3,1,6,1,5,99,1,0,9,9,99,9,9,1,13,2,5,8,2,1,2,1,2,2,1,1,2,3,3,2,2,2,1,2,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,3,3,3,1,3,1,2,2,3,6,99,2,1,1,3,0
1,1,1,9,12,2,4,1,8,1,4,1,28,3,2,13,4,1,2,4,3,1,8,1,99,3,1,0,9,9,99,9,9,1,14,1,0,12,2,1,2,1,1,1,1,1,1,3,4,2,2,4,1,2,2,1,4,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,4,2,3,3,2.506569638,2,2,2,9,99,3,1,3,2,0
1,1,1,9,2,11,5,4,27,2,5,2,27,2,9,19,3,1,1,4,9,2,7,2,3,1,1,0,9,9,99,9,9,1,14,2,0,8,1,2,4,1,2,2,2,1,1,2,3,2,2,2,3,2,3,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,9,99,3,1,1,5,0
1.706488781,8,1,9,5,11,4,3,10,1,4,2,10,2,2,0,3,1,2,4,3,1,10,1,99,1,0,1,9,9,99,9,9,2,15,1,9,12,2,1,2,1,2,2,1,3,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,3,3,3,2,0
1,1,1,9,10,11,4,1,42,1,4,2,42,1,9,16,3,1,2,4,4,2,6,1,5,99,0,1,9,9,99,9,9,1,12,1,0,10,4,1,4,1,2,2,4,2,1,3,1,1,2,1,1,1,2,2,3,1,1,1,2,1,2,1,1,1,1,1,2,2,4,2,4,2,4,4,2,2,2,2,1,1,2,9,99,3,1,1,2,0
1,1,1,9,14,11,4,1,41,1,4,2,41,3,9,16,3,4,2,4,3,1,10,1,4,1,0,1,2,2,99,9,9,2,16,1,0,11,2,1,2,1,1,1,3,1,3,1,1,2,2,1,1,2,1,1,4,2,1,2,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,2,1,1,1,0
1,1,1,9,3,11,4,5,40,1,4,2,40,1,2,18,2,1,1,4,3,1,8,1,1,2,1,0,9,9,99,9,9,1.623205983,14,1,6,8,2,1,2,1,2,2,1,3,3,3,3,3,3,3,2,3,2,2,3,2,2,2,2,2,2,2,3,2,2,2,1,1,3,3,3,3,3,3,3,1,2,2,1,1,2,9,2,3,2,9,1,1
1,1,1,9,13,11,2,5,28,1,2,1,28,4,9,18,4,1,2,4,7,1,10,1,3,1,0,0,2,2,99,9,9,1,18,1,7,12,4,1,4,5,2,2,2,1,1,3,2,1,2,1,1,2,2,1,4,1,2,2,1,1,1,2,2,2,2,1,2,1,2,2,1,2,2,2,2,3,3,2,1,1,2,9,1,2,1,3,1,0
1,1,1,9,7,11,3,3,28,1,3,2,28,1,2,16,2,1,2,4,4,2,10,1,99,1,0,0,2,2,99,9,9,1,16,2,7,12,4,1,4,1,2,1,1,1,1,4,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,2,1,1,3,1
1,1,1,9,13,11,4,1,28,1,4,2,28,2,2,13,3,1,3,4,4,2,6,1,99,2,0,0,9,9,99,9,9,2,13,1,6,8,4,3,4,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,1,99,1,1,1,1,0
1,1,5,1,9,11,3,5,41,2,3,2,41,1,2,16,3,1,2,4,3,1,7,2,99,1,0,0,9,9,99,9,9,1,15,1,6,8,2,1,4,1,1,2,2,1,1,3,3,1,1,2,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,3,2,1,2,2,2,2,2,2,1,1,1,1,2,99,4,1,3,2,1
1,1,1,9,13,11,3,1,40,1,3,2,40,2,9,13,2,1,2,4,4,2,7,1,6,99,1,0,9,9,99,9,9,2,13,2,7,8,2,2,2,1,2,2,1,1,1,2,1,1,1,1,1,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,2,1,1,4,0
1,8,4,1,4,11,4,4,27,1,4,2,27,1,2,18,3,1,1,4,3,1,7,1,5,99,0,1,9,9,99,9,9,1,14,1,6,8,2,2,2,1,2,2,2,1,1,3,3,2,2,1,2,2,1,2,3,2,2,2,2,1,2,2,2,2,2,2,3,1,2,2,2,3,3,3,3,4,3,2,1,1,1,3,99,2,1,1,2,0
1,1,1,9,14,11,4,1,42,1,4,2,42,4,9,0,3,4,2,4,3,1,8,1,11,99,1,0,9,9,99,9,9,2,14,2,6,8,4,1,4,1,2,1,2,1,3,2,2,2,2,1,2,2,2,1,3,1,2,2,2,1,1,1,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,9,99,1,1,1,5,0
1,1,1,9,14,2,4,1,42,1,4,1,40,3,9,13,4,3,3,4,4,2,6,1,7,99,1,0,9,9,99,9,9,2,15,1.586618152,0,12,4,1,4,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,2,2,9,2.949262179,0
1,1,1,9,14,2,4,1,40,1,5,1,42,2,9,16,2,1,2,4,3,1,6,1,13,99,1,0,9,9,99,9,9,2,13,2,0,8,4,1,4,1,1,2,2,3,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,2,1,1,3,0
1,8,1,9,14,11,3,5,42,1,3,2,42,1,2,16,4,1,2,1,3,1,8,1,99,2,0,1,9,9,99,9,9,1,13,1,6,8,4,1,4,1,2,2,4,2,1,4,3,2,2,2,3,1,2,2,3,3,3,2,2,2,2,2,2,2,1,1,2,1,3,3,3,3,3,3,3,3,3,2,1,1,2,9,99,3,1,3,2,1
1,1,1,9,1,11,3,5,40,2,3,2,40,0,1,17,3,1,1,2,4,2,9,2,3,1,0,0,9,9,99,9,9,1,15,1,9,12,2,3,2,3,2,2,4,1,1,3,3,1,2,2,1,1,2,1,3,1,1,2,1,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,3,1,1,1,0
1,1,1,9,14,11,4.074994946,5,11,4,4.144127754,2,11,1,2,16,3,1,2,3.720234486,4.072973519,2,11,4,1,1,1,0,2,2,99,9,9,2,17,1,9,11,2,2,2,1,2,2,3,1,1,2,2,1,2,2,2,2,2,2,3,2,1,1,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,3,3,3,3,1,1,1,3,6,99,1,1,1,2,0
1,1,1,9,14,11,4,1,42,1,4,2,42,2,9,0,2,1,2,4,4,2,6,1,1,1,1,0,9,9,99,9,9,2,13,1,6,8,4,1,4,1,1,1,3,3,2,3,2,1,1,2,2,2.30179907,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,1,1,1,1,0
1,1,5,1,1,11,4,3,41,1,4,2,41,1,1,13,2,3,3,1,3,1,7,1,3,1,0,1,9,9,99,9,9,1,14,1,8,12,2,2,2,1,2,2,1,1,3,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,3,3,3,1,1,1,2,9,99,2,3,3,2,0
1,1,1,9,12,2,3,1,40,1,4,1,40,3,2,16,4,1,3,4,4,2,7,1,4,1,0,1,9,9,99,9,9,1,13,1,7,8,4,1,4,1,2,1,4,3,1,3,3,2,2,2,2,3,2,2,3,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,1,1,1,3,1,99,2,1,1,2,0
1,1,1,9,98,2,5,1,3,1,6,1,4,4,9,22,2,1,1,4,4.072973519,2,8,1,13,99,0,0,2,2,99,9,9,1.623205983,16,1,9,12,1,1,1,1,1,1,2,1,1,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,3,2,1,2,2,2,2,2,2,2,1,2,1,1,2,1,2,1,2,1,1,2,0
1,1,2,1,2,11,4,5,28,1,4,2,28,0,2,18,3,1,1,4,4,2,10,1,3,1,0,0,2,2,99,9,9,1,16,1,9,12,2,1,2,1,2,2,1,1,3,1,2,2,2,1,1,1,1,1,4,2,2,2,2,2,2,1,1,2,2,2,2,3,3,3,3,2,2,2,3,2,2,2,1,1,3,6,1,2,3,3,1,0
1,1,1,9,14,11,4,1,43,1,4,2,43,3,9,13,4,1,3,4,4,2,8,1,14,99,1,0,9,9,99,9,9,2,14,2,6,12,2,2,2,5,2,1,2,1,1,4,3,3,2,2,3,3,2,2,3,2,2,2,2,2,2,2,1,1,2,2,3,1,2,2,2,2,2,2,2,1,3,1,1,1,2,9,99,1,1,1,3,1
1,8,1,9,98,2,4,1,40,1,5,1,41,4,9,18,3,1,1,4,3,1,7,1,12,99,1,0,9,9,99,9,9,2,12,2,6,8,2,1,4,1,2,2,3,1,1,4,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,5,2,9,3,0
1,1,1,9,4,2,3,1,10,1,4,1,10,1,9,0,1,3,2,4,4,2,5,1,4,1,1,0,9,9,99,9,9,1,14,2,5,8,2,4,2,1,2,2,1,1,1,4,4,1,1,1,2,1,1,1,4,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,3,1,2,9,99,3,1,1,3,1
1,1,1,9,14,11,4,1,41,1,4,2,41,3,9,0,2,3,3,4,3,1,6,1,9,99,1,0,9,9,99,9,9,1,13,2,7,12,4,1,2,1,1,1,1,1,1,2,4,3,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,99,2,1,1,5,1
1,1,1,9,12,11,4,1,42,1,4,2,42,2,9,20,4,1,1,4,4,2,10,1,15,99,0,0,2,2,99,9,9,2,16,1,9,12,4,1,1,4,2,2,1,1,1,3,3,2,2,1,2,2,2,1,4,2,2,1,2,1,2,1,2,1,4,1,1,1,2,3,3,1,1,3,3,3,3,1,1,1,1,1,99,1,1,1,1,0
1,1,1,9,11,11,4,3,28,2,4,2,28,2,9,13,2,1,2,4,4,2,11,2,6,99,0,0,2,2,99,9,9,2,17,1,9,12,2,2,2,1,2,2,1,1,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,3,1,1,3,3,1,2,2,1,2,99,3,3,2,1,1
1,1,1,9,14,2,4,1,28,1,4,1,42,3,9,18,4,1,1,4,3,1,9,1,13,99,1,0,2,2,99,9,9,1,16,2,9,12,4,1,4,1,1,1,1,3,1,3,3,2,2,2,2,2,1,1,4,1,2,1,1,1,1,2,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,2,1,1,3,6,99,2,1,1,3,0
1,1,1,9,2,11,4,5,28,1,4,2,28,1,2,19,4,1,1,4,4,2,10,1,99,2,0,0,9,9,99,9,9,2,15,1,9,12,4,1,4,1,2,1,2,1,1,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,6,99,3,1,1,1,1
1,1,1,9,14,2,4,1,42,1,4,1,43,3,9,0,1,1,2,4,3,1,5,1,12,99,0,0,9,9,99,9,9,1,12,1,6,8,2,2,2,1,1,1,2,1,1,3,3,2,2,3,2,2,1,1,3,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,1,1,1,2,0
1,8,1.538912472,2,12,2,4,1,28,1,4,1,28,1,2,23,1,1,1,4,4,2,27,1,11,99,0,1,2,2,99,9,9,3,17,1,9,12,3,3,3,1,2,2,1,1,1,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,99,1,2,9,2,0
1,1,1,9,13,11,5,1,28,1,5,2,28,2,9,0,3,1,2,1,4,2,7,1,13,99,0,1,9,9,99,9,9,2,13,1,6,8,2,2,2,1,2,2,1,1,1,2,2,1,2,2,1,1,2,2,3,2,2,2,2,2,2,1,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,1,2,1,6,99,1,1,1,2,0
1,1,1,9,13,11,3,1,40,1,3,2,40,2,9,13,2,1,2,4,4,2,6,1,6,99,1,0,9,9,99,9,9,2,12,1.586618152,7,8,2,2,2,1,2,2,1,1,1,2,1,1,1,1,1,1,2,2,3,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,2,1,1,2.949262179,0
1,1,1,9,14,2,4,1,42,4,4,1,43,3,9,17,4,1,1,4,3,1,5,4,12,99,1,0,9,9,99,9,9,1,12,2,6,8,4,2,1,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,3,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,1,2,9,99,1,1,1,3,0
1,1,1,9,14,2,4,1,42,4,4,1,43,3,9,17,3,4,1,4,3,1,9,4,6,99,1,0,9,9,99,9,9,1,14,2,9,12,4,3,4,1,2,1,2,2,1,1,2,2,1,1,2,2,1,1,4,1,2,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,2,1,1,3,0
1,1,1,9,13,11,5,5,41,1,5,1,41,2,9,17,1,1,1,4,3,1,9,1,8,99,1,0,2,2,99,9,9,2,16,2,9,12,2,2,2,1,1,1,2,1,1,1,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1,1,1,1,2,1,2,1,2,1,3,1,99,1,1,1,3,0
1,1,1,9,12,11,4,1,41,1,4,2,41,3,9,19,4,1,1,4,4,2,11,1,12,99,1,0,2,2,99,9,9,1,17,2,6,11,4,1,4,3,1,2,1,1,1,2,3,2,2,3,2,1,1,1,4,1,2,2,2,1,2,1,3,2,3,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1,1,4,2,2,1,1,4,1
