V2022,V2023,V2024,V2025,V2026,V2032,V2033CAT,V2034,V2038,V2040A,V2042CAT,V2045,V2047,V2078,V2120,V2126B,V2127B,V2128B,V2129,V2132,V3012,V3018,V3020,V3023A,V3032,V3033,V3061,V3064,V3071,V3072,V3074,V3075,V3076,VS0005,VS0010,VS0011,VS0022,VS0023,VS0024,VS0025,VS0026,VS0027,VS0029,VS0031,VS0041,VS0043,VS0045,VS0046,VS0047,VS0048,VS0049,VS0050,VS0051,VS0052,VS0053,VS0054,VS0055,VS0146,VS0147,VS0148,VS0149,VS0150,VS0151,VS0057,VS0152,VS0153,VS0154,VS0155,VS0058,VS0059,VS0060,VS0061,VS0062,VS0063,VS0064,VS0065,VS0066,VS0067,VS0068,VS0069,VS0124,VS0126,VS0133,VS0134,VS0137,VS0138,VS0139,VS0140,VS0141,o_bullied
1,8,1,9,10,2,4,1,28,1,2,1,28,4,9,18,3,1,2,1,4,2,7,1,1,2,0,0,9,9,99,9,9,3,12,1,6,8,2,1,2,1,2,1,1,1,1,3,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,1,1,1,2,0
1,8,1,9,10,11,5,4,11,1,5,2,11,0,2,18,4,1,2,4,9,1,10,1,2,1,0,1,2,2,99,9,9,1.623205983,17,3,9,12,1,1,1,1,1,2,1,1,1,4,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,3,3,2.37780473,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,6,20,2,1,1,2.949262179,1
1,1,1,9,98,11,3,5,28,1,3,1,28,1,2,13,2,3,3,4,4.072973519,1,10,1,15,99,1,0,2,2,99,9,9,1,18,2,7,12,4,1,4,1,2,2,1,1,1,2,2,1,2,2,1,2,2,2,3,3,3,2,3,3,3,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,2.239134829,3,3,5,0
1,1,1,9,13,11,4,3,41,1,4,2,41,1,2,13,3,4,2,4,4,2,9,1,2,1,1,0,9,9,99,9,9,1,15,2,7,12,4,2,4,1,1,2,1,3,1,2,1,2,3,3,2,2,2,2,4,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,3,2,2,2,3,2,1,1,1,2,9,99,2,3,3,4,0
1,1,1,9,8,2,4,1,40,1,4,1,40,4,2,18,4,1,1,4,3,1,7,1,3,1,1,0,9,9,99,9,9,1,14,2,6,8,2,1,2,1,2,2,2,1,1,3,3,2,2,1,2,2,2,1,4,1,1,2,1,1,2,1,2,1,2,1,3,1,2,2,2,2,2,2,2,2,3,1,2,2,2,9,99,1,1,1,3,0
1.706488781,8,1,9,98,11,4,1,40,1,4,2,40,4,9,21,3,1,1,4,4,2,8,1,8,99,0,1,9,9,99,9,9,1,14,1,6,8,4,1,4,1,2,2,2,1,1,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,2,1,1,2,0
1,1,1,9,14,2,4,1,28,1,4,1,28,4,9,0,2,3,3,4,3,1,11,1,17,99,1,0,1,9,93.37517687,8.411158278,8.4396604,2,17,2,0,12,4,1,4,4,1,2,1,1,1,2,3,2,1,2,2,2,1,2,4,2,2,2,2,2,2,1,2,1,2,2,3,3,2,3,3,2,2,2,2,3,3,2,1,1,2,9,99,2,1,1,4,0
1.706488781,8,1,9,98,11,3,1,41,1,3,2,41,2,9,18,4,1,1,4,4,2,9,1,99,1,0,0,9,9,99,9,9,1,15,1,9,12,1,2,1,1,2,2,3,2,2,3,3,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,1,1,1,1,3,4,4,4,3,1,3,2,3,3,3,5,99,1,1,1,1,1
1,1,1,9,98,11,4,1,41,1,4,2,41,4,9,0,1,1,2,4,3,1,11,1,10,99,1,0,2,2,99,9,9,2,17,1.586618152,9,12,4,1,4,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,4,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,1,1,1,2.949262179,0
1,1,1,9,8,11,4,3,41,1,4,2,41,2,9,19,3,1,1,4,4,2,10,1,2,2,1,0,1,9,93.37517687,8.411158278,8.4396604,2,16,2,9,12,2,5,2,1,2,2,1,1,2,3,2,2,1,3,2,2,2,1,3,1,1,1,1,1,1,1,2.202142713,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,9,99,1,1,1,3,1
